key,title,doi,date,attachment_key,filename
78QQN75F,Efficient Performance Trade-off Modeling for Analog Circuit based on Bayesian Neural Network,10.1109/iccad45719.2019.8942174,2019-11,2ZPFY2P6,2019_Gao et al_Efficient Performance Trade-off Modeling.pdf
RRARXM96,An Efficient Bayesian Optimization Approach for Automated Optimization of Analog Circuits,10.1109/tcsi.2017.2768826,2018-06,W4NUPLLU,2018_Lyu et al_An Efficient Bayesian Optimization Appro.pdf
T44SNH4F,A Large Language Model-based Multi-Agent Framework for Analog Circuits’ Sizing Relationships Extraction,10.1109/iseda65950.2025.11101698,2025-05-09,DMIXC7RJ,2025_Liu et al_A Large Language Model-based Multi-Agent.pdf
HVBHDMHW,MenTeR: A fully-automated Multi-agenT workflow for end-to-end RF/Analog Circuits Netlist Design,10.1109/iclad65226.2025.00015,2025-06-26,G4VBZKDQ,2025_Chen et al_MenTeR A fully-automated Multi-agenT wo.pdf
SNUF7FTB,Graph Representation Learning for Parasitic Impedance Prediction of the Interconnect,10.1109/iscas46773.2023.10181447,2023-05-21,LTNEABXM,2023_Shrestha et al_Graph Representation Learning for Parasi.pdf
7ADWLCKQ,From Global Route to Detailed Route: ML for Fast and Accurate Wire Parasitics and Timing Prediction,10.1145/3551901.3556475,2022-09-12,EAC7FCSU,2022_Chhabria et al_From Global Route to Detailed Route ML.pdf
9LG8X7YB,TAG,10.1145/3508352.3549384,2022-10-30,4BLQRYYW,2022_Zhu et al_TAG.pdf
IQYFMWJV,AutoCkt: Deep Reinforcement Learning of Analog Circuit Designs,10.23919/date48585.2020.9116200,2020-03,Y75UVNNW,2020_Settaluri et al_AutoCkt Deep Reinforcement Learning of.pdf
G8XKV5WV,A customized graph neural network model for guiding analog IC placement,10.1145/3400302.3415624,2020-11-02,YFFGALTQ,2020_Li et al_A customized graph neural network model.pdf
KWVC9B83,Automated Design of Complex Analog Circuits with Multiagent based Reinforcement Learning,10.1109/dac56929.2023.10247909,2023-7-9,4479JFZS,2023_Zhang et al_Automated Design of Complex Analog Circu.pdf
H7MJDH96,GCN-RL Circuit Designer: Transferable Transistor Sizing with Graph Neural Networks and Reinforcement Learning,10.1109/dac18072.2020.9218757,7/2020,222T4HRB,2020_Wang et al_GCN-RL Circuit Designer Transferable Tr.pdf
M9CPG8Z8,Design of SIW Filters in D-band Using Invertible Neural Nets,10.1109/ims30576.2020.9223952,8/2020,7QMWHXBX,2020_Yu et al_Design of SIW Filters in D-band Using In.pdf
4IX6C572,AI enabling discovery and design of radio and high-frequency wireless chips beyond human intuition,10.1109/MC.2025.3566789,8/2025,QUXGHYKS,AI_Enabling_Discovery_and_Design_of_Radio_and_High-Frequency_Wireless_Chips_Beyond_Human_Intuition.pdf
YTCN89RC,The next-generation of circuit simulation in RF EDA,,,ATZ32W5X,The next-generation of circuit simulatio.pdf
I6RQMIYP,AI-powered terahertz VLSI testing technology for ensuring hardware security and reliability,10.1109/ACCESS.2021.3075429,2021,HANRFNJH,2021_Akter et al_AI-powered terahertz VLSI testing techno.pdf
JXA3PPLG,Indoor coverage experiment with beam steering and hybrid-DNN demodulator on sub-THz transmission under hardware impairment,10.1109/VTC2025-Fall65116.2025.11310247,2025-10-19,3L84T32F,2025_Kuriyama et al_Indoor coverage experiment with beam ste.pdf
K2TZ97WT,Deep learning-based device twin model and its testing applications,10.1109/WCCCT65447.2025.11027932,2025-4-11,YS3XDNX3,2025_Yu et al_Deep learning-based device twin model an.pdf
R9HDD54V,Deep learning-assisted RFIC design with dual-metal-layer passive matching networks: A 15-22 GHz CMOS PA for 6G in 22nm FDX+,10.23919/GeMiC64734.2025.10979102,2025-3-17,BCWUL66K,2025_Chu et al_Deep learning-assisted RFIC design with.pdf
7C5VWXUM,A compact <i>E</i> -band load-modulation balanced power amplifier in 65-nm CMOS,10.1109/jssc.2024.3404610,10/2024,8CBVH5VN,2024_Huang et al_A compact E -band load-modulation.pdf
B3ZRBCST,Multiobjective fitness functions with nonlinear switching for antenna optimizations,10.1109/ojap.2022.3178840,2022,8JS95F9P,2022_Khan et al_Multiobjective fitness functions with no.pdf
HQ8H4XFQ,A 4.4-mW 19–46-GHz low-noise amplifier with pole-converging gain flattening and triple-resonance input matching,10.1109/rfic61187.2024.10600028,2024-6-16,XBKWHDE9,2024_Fu et al_A 4.4-mW 19–46-GHz low-noise amplifier w.pdf
QGC3FK8P,Ultralow noise figure and broadband CMOS LNA with three-winding transformer and large transistor,10.1109/tmtt.2024.3354908,5/2024,XPE8A7RN,2024_Kim et al_Ultralow noise figure and broadband CMOS.pdf
VJ3D4VLV,Design and Analysis of a 22.6-to-73.9 GHz Low-Noise Amplifier for 5G NR FR2 and NR-U Multiband/Multistandard Communications,10.1109/jssc.2025.3545463,9/2025,D44TBTM8,2025_Zhao et al_Design and Analysis of a 22.6-to-73.9 GH.pdf
D7894E6Q,A 26-to-39GHz broadband ultra-compact high-linearity switchless hybrid N/PMOS bi-directional PA/LNA front-end for multi-band 5G large-scaled MIMO system,10.1109/isscc42614.2022.9731651,2022-2-20,4MDHVB5P,2022_Park et al_A 26-to-39GHz broadband ultra-compact hi.pdf
R7JYJR4M,5.10 a 3.5mW mm-wave low-noise active bandpass filter employing an all-passive interferer-cancellation feedforward path,10.1109/isscc49661.2025.10904619,2025-2-16,PW39Q3GG,2025_Gadelkarim et al_5.10 a 3.5mW mm-wave low-noise active ba.pdf
JPTHRC5G,A blocker-tolerant mm-wave low-noise amplifier utilizing doherty active load modulation for linearity enhancement,10.1109/isscc49661.2025.10904630,2025-2-16,J4YH3DFN,2025_Yu et al_A blocker-tolerant mm-wave low-noise amp.pdf
WC8Z8MV8,32.4 a 67.8-to-108.2GHz power amplifier with a three-coupled-line-based complementary-gain-boosting technique achieving 442GHz GBW and 23.1% peak PAE,10.1109/isscc49657.2024.10454503,2024-2-18,39SRMEPC,2024_Wu et al_32.4 a 67.8-to-108.2GHz power amplifier.pdf
EPUR4AGF,A 10–110 GHz LNA with 19-25.5 dB gain and 4.8-5.3 dB NF for ultra-wideband applications in 90nm SiGe HBT technology,10.1109/rfic51843.2021.9490504,2021-6-7,Z2DFIN2W,2021_Kazan et al_A 10–110 GHz LNA with 19-25.5 dB gain an.pdf
EGF5CMGG,"A power-efficient, F-band, 6.5-dB NF, staggered-tuned, inverter-based CMOS LNA for 6G receivers",10.1109/ims40175.2024.10600407,2024-6-16,2A2CV23C,"2024_Hassan et al_A power-efficient, F-band, 6.5-dB NF, st.pdf"
UDJYUQVI,A 300-GHz fundamental oscillator in 65-nm CMOS technology,10.1109/jssc.2011.2108122,04/2011,IW32ZZ9I,2011_Razavi et al_A 300-GHz fundamental oscillator in 65-n.pdf
2R7YKZHP,An inverse-designed passively coupled N-path filter with gm-boosted active HBT switches,,2026,WJYH8KCC,2026_Chenna et al_An inverse-designed passively coupled N-.pdf
6H4JHW8Q,"HYDAR: A 390K QPS, 1574K QPS/W hybrid analog/digital compute-in-RRAM accelerator for efficient recommendation system",,2026,YASZLGII,"2026_Li et al_HYDAR A 390K QPS, 1574K QPSW hybrid an.pdf"
2V4HC53I,AI-enabled end-to-end design in RFICs with controllable architectural style from ‘classical’ to ‘non-intuitive’ for mm-wave/sub-THz LNAs,,2026,LLSEAM2C,2026_Zhou et al_AI-enabled end-to-end design in RFICs wi.pdf
U5P8AG6Q,1016-clause analog k-SAT solver,,2026,A32DZJ72,2026_Wormald et al_1016-clause analog k-SAT solver.pdf
JGR7FL5R,13.2 AI-enabled end-to-end design in RFICs with controllable architectural style from ‘classical’ to ‘non-intuitive’ for mm-wave/sub-THz LNAs,,2026,XXNYJ36D,2026_Zhou et al_13.2 AI-enabled end-to-end design in RFI.pdf
7JBGW76X,"13.1 HYDAR: A 390K QPS, 1574K QPS/W hybrid analog/digital compute-in-RRAM accelerator for efﬁcient recommendation system",,2026,T8Q7I8C2,"2026_Li et al_13.1 HYDAR A 390K QPS, 1574K QPSW hybr.pdf"
YMQJZJ55,A Nonintuitively Frequency-Staggered Wideband mm-Wave Low-Noise Amplifier,10.1109/ISSCC49663.2026.11409264,2026-2-15,IBSNFCDZ,2026_Chenna et al_A Nonintuitively Frequency-Staggered Wid.pdf
433JJ2YR,13.4 an inverse-designed passively coupled N-path filter with gm-boosted active HBT switches,,2026,DADIVZR3,2026_Chenna et al_13.4 an inverse-designed passively coupl.pdf
DYDLWPSW,13.3 Medusa: A Quantum-Inspired 200-Variable 1016-Clause Analog k-SAT Solver,,2026,B3YDNEF3,2026_Wormald et al_13.3 Medusa A Quantum-Inspired 200-Vari.pdf
ICKXJRA7,Automated neural-network-based model generation algorithms for microwave applications,10.1109/mmm.2024.3486596,2025-02,RULBCC4T,2025_Na et al_Automated neural-network-based model gen.pdf
EFQQBDKF,A comprehensive review of machine learning approaches for semiconductor device modeling and simulation,10.1109/access.2025.3605856,2025,TR24MAD3,2025_Mamun et al_A comprehensive review of machine learni.pdf
KQ4PKWJF,Cloud removal method for remote sensing images based on SAR-guided conditional diffusion model and style adaptation,10.1109/jstars.2025.3599162,2025,R8Y5CU4K,2025_Chen et al_Cloud removal method for remote sensing.pdf
2UKQS26I,Multimodal issues and key technologies in ocean observation data: A review,10.1109/jstars.2025.3591424,2025,GQ7EFC4Y,2025_Nie et al_Multimodal issues and key technologies i.pdf
67W8PJZP,"Guest editorial: Special cluster on artificial intelligence in design, optimization and measurement of antennas and periodic structures",10.1109/lawp.2025.3623344,2025-11,GCMBFAJX,2025_Lin et al_Guest editorial Special cluster on arti.pdf
XHXLDDWM,A diffusion model for multi-layered metasurface unit cell synthesis,10.1109/ojap.2023.3292149,2023,D8EJBIES,2023_Niu et al_A diffusion model for multi-layered meta.pdf
QTD2FDXX,Multisensor diffusion-driven optical image translation for large-scale applications,10.1109/jstars.2024.3506032,2025,8EWWI4PY,2025_Vinholi et al_Multisensor diffusion-driven optical ima.pdf
NZ6RVA2M,"Advancements in speech recognition: A systematic review of deep learning transformer models, trends, innovations, and future directions",10.1109/access.2025.3550855,2025,U9QFGMX7,2025_Sharrab et al_Advancements in speech recognition A sy.pdf
NCDJWILP,Optimization of antenna array configurations using deep learning,10.1109/ojap.2025.3578887,2025-10,A4LZX85N,2025_Lin Yi Lu et al_Optimization of antenna array configurat.pdf
T8BV5SAD,Adaptive impedance-matching techniques for ControllingLNetworks,10.1109/tcsi.2009.2023764,2010-02,2TAF5PB3,2010_van Bezooijen et al_Adaptive impedance-matching techniques f.pdf
R4P2HYWA,Multiphysics parametric modeling of microwave components using combined neural networks and transfer function,10.1109/access.2019.2963409,2020,NEXTKZDA,2020_Zhang et al_Multiphysics parametric modeling of micr.pdf
UJBE34SI,Parametric modeling of EM behaviors of microwave components using combined neural networks and pole-residue transfer functions,10.22215/etd/2017-12239,,E7F7GH42,Feng et al_Parametric modeling of EM behaviors of m.pdf
M9FY7I3I,Parametric modeling of EM behavior of microwave components using combined neural networks and pole-residue-based transfer functions,10.1109/tmtt.2015.2504099,2016-01,CQIAIKIM,2016_Feng et al_Parametric modeling of EM behavior of mi.pdf
DAR43TUM,Artificial neural network (ANN) based fast and accurate inductor modeling and design,10.1109/ojpel.2020.3012777,2020,VTERUFX9,2020_Guillod et al_Artificial neural network (ANN) based fa.pdf
XGLQ4EKS,Bayesian active learning for optimization and uncertainty quantification in protein docking,10.1021/acs.jctc.0c00476.s001,,NAT74LDE,Bayesian active learning for optimizatio.pdf
TITRFAG2,Bayesian-based automated model generation method for neural network modeling of microwave components,10.1109/lmwc.2021.3087163,2021-11,MH53RELY,2021_Cui et al_Bayesian-based automated model generatio.pdf
523WB77C,A novel deep-Q-network-based fine-tuning approach for planar bandpass filter design,10.1109/lmwc.2021.3062874,2021-06,RPLP2S4Z,2021_Ohira et al_A novel deep-Q-network-based fine-tuning.pdf
UCYV8P49,Inverse design of on-chip interconnect via transfer learning-based deep neural networks,10.1109/tcpmt.2023.3290413,2023-06,KZJNEDR8,2023_Zhang et al_Inverse design of on-chip interconnect v.pdf
HVUCJ2YR,Radio‐frequency integrated‐circuit engineering,10.1002/9781118999745.ch8,2015-05-22,2IWU36YR,2015_Nguyen et al_Radio‐frequency integrated‐circuit engin.pdf
YVHYY6HW,An efficient high-frequency linear RF amplifier synthesis method based on evolutionary computation and machine learning techniques,10.1109/tcad.2012.2187207,07/2012,Z6Z26MZP,2012_Bo Liu et al_An efficient high-frequency linear RF am.pdf
KNHH4DU4,Machine learning driven inverse design of devices and components for optical communication and sensing systems: A comprehensive review,10.1117/1.apn.5.1.014002,2026-2-2,FKDL6AA5,2026_Khan et al_Machine learning driven inverse design o.pdf
MVLJJ5W8,Algorithmic design of nonintuitive on-chip multilayered passive networks,10.1109/ims40360.2025.11103811,2025-6-15,R46EILWS,2025_Chenna et al_Algorithmic design of nonintuitive on-ch.pdf
P847AD5R,PatternPaint: Practical layout pattern generation using diffusion-based inpainting,10.1109/dac63849.2025.11132857,2025-6-22,K6N7BA7S,2025_Zhou et al_PatternPaint Practical layout pattern g.pdf
H7SMP6DP,PCIe 5.0 connector distributed physical-based circuit model with loading resonances for fast SI diagnosis and pathfinding,10.1109/tmtt.2024.3479132,1/2025,J3HX8H2W,2025_He et al_PCIe 5.0 connector distributed physical-.pdf
DQ4UK4IK,Review of on-chip inductor structures with magnetic films,10.1109/tmag.2009.2030590,10/2009,LP3DGLT5,2009_Gardner et al_Review of on-chip inductor structures wi.pdf
HA4WTDXT,ASP-DAC 2005 technical program committee,10.1109/aspdac.2005.1466103,2005,V3UJWVGP,2005_ASP-DAC 2005 technical program committee.pdf
JYS7R9PG,Rapid multi-objective inverse design of antenna via deep neural network surrogate-driven evolutionary optimization,10.36227/techrxiv.171742511.11489750/v1,2024-6-3,M5QRVJPF,2024_Singh et al_Rapid multi-objective inverse design of.pdf
KBZWE6X5,Lene wacher lentz: Secret police investigations on the internet lene WacherLentzSecret police investigations on the InternetOriginal title: politiets hemmelige efterforskning på internettetArticle based PhD dissertationAalborg Universitetsforlag978-87-7210-556-7https://vbn.aau.dk/ws/portalfiles/portal/317174975/PHD_Lene_Wacher_Lentz_E_pdf.pdf: original title: politiets hemmelige efterforskning på internettet. Article based PhD dissertation,10.18261/njsp.10.1.6,2023-11-28,QRT6UDIQ,2023_Neumann et al_Lene wacher lentz Secret police investi.pdf
FUFELYDB,Solid-state circuits directions technical committee launches “think impact with ICs” workshop series and “impact community projects” in partnership with EPICS in IEEE [society news],10.1109/mssc.2024.3378188,21/2024,Y3385FIS,2024_Sengupta et al_Solid-state circuits directions technica.pdf
L5CCVH9B,Progression of motivation models in exercise science: Where we have been and where we are heading,10.1002/9781119568124.ch44,2020-04-14,4WDHFGV3,2020_Tenenbaum et al_Progression of motivation models in exer.pdf
2Z7XJI8U,A comprehensive review on next-generation modeling and optimization for semiconductor devices,10.1109/access.2025.3587721,2025,JV8XSVEP,2025_Raut et al_A comprehensive review on next-generatio.pdf
P8ENHEY3,Solution of integral equations by physics-informed neural networks for electromagnetic scattering,10.36227/techrxiv.171502840.07574149/v1,2024-5-6,EN8JLT58,2024_Zhang et al_Solution of integral equations by physic.pdf
CFQ3IQ67,Best paper award candidates asia and south pacific design automation conference 1995 (ASP-DAC '95),10.1109/aspdac.1995.486190,1995,V6CG886G,1995_Best paper award candidates asia and sou.pdf
FWLUDL5J,Bayesian active learning for radiation pattern sampling over cylindrical surfaces,10.1109/temc.2022.3172483,10/2022,59NU3RUG,2022_Garbuglia et al_Bayesian active learning for radiation p.pdf
6B2XQGCK,Machine learning-driven synthesis of on-chip 8-shaped inductors,10.1109/ucmmt67044.2025.11286963,2025-8-25,AN3YNWLZ,2025_He et al_Machine learning-driven synthesis of on-.pdf
ZNTTQXXD,Bayesian updating using multi-fidelity active learning kriging models,10.2139/ssrn.5497569,2025,5A2IHVUD,2025_Prentzas et al_Bayesian updating using multi-fidelity a.pdf
5LSVN24S,Synthesis of optimal on-chip baluns,10.1109/cicc.2007.4405782,2007,IADVTAJR,2007_Kapur et al_Synthesis of optimal on-chip baluns.pdf
L3S9ZXEV,"Microwave and RF design (review of ""microwave and RF DES GN"") [book\/software reviews]",10.1109/mmm.2014.2367958,2/2015,5L336VCT,2015_Chu et al_Microwave and RF design (review of micr.pdf
ILTXNHJG,Compact circuit simulation model for on-chip inductor and transformer for RF integrated circuits,10.1109/idt.2007.4437474,12/2007,JU2NBATK,2007_Hasaneen et al_Compact circuit simulation model for on-.pdf
HL2WQWFK,Dall-EM: Generative AI with diffusion models for new design space discovery and target-to-electromagnetic structure synthesis,10.1109/ims40360.2025.11103838,2025-6-15,UR4IHEE3,2025_Guo et al_Dall-EM Generative AI with diffusion mo.pdf
6Z2T3YS3,Supporting information: MacroSimGNN: efficient and accurate prediction of macromolecule pairwise similarity via graph neural network,,,TP9FDHE3,Shi et al_Supporting information MacroSimGNN eff.pdf
D89MS2AZ,Causality-aware training of physics-informed neural networks for solving inverse problems,10.3390/math13071057,2025-03-24,FKAE9IYC,2025_Kim et al_Causality-aware training of physics-info.pdf
GZHLBTAI,Synthesis of integrated passive components for high-frequency RF ICs based on evolutionary computation and machine learning techniques,10.1109/tcad.2011.2162067,2011-10,FUF3RTXM,2011_Liu et al_Synthesis of integrated passive componen.pdf
